RefSeq ID,Gene symbol,hsa-miR-16-5p,hsa-miR-106b-5p,hsa-miR-200a-3p,hsa-miR-200b-3p,hsa-miR-215-5p,hsa-let-7c-5p,hsa-miR-103a-3p
NM_000017,ACADS,-0.035,0.068,-0.047,0.048,-0.225,0.25,0.094
NM_000019,ACAT1,0.243,-0.201,0.268,-0.014,-0.013,-0.176,-0.071
NM_000021,PSEN1,0.173,0.186,-0.046,0.175,0.112,0.057,0
NM_000023,SGCA,N/A,N/A,0.109,-0.065,-0.152,0.152,-0.041
NM_000027,AGA,-0.078,-0.054,0.016,0.136,N/A,-0.09,N/A
NM_000030,AGXT,N/A,-0.036,0.015,-0.09,0.039,-0.031,0.173
NM_000031,ALAD,-0.662,0.05,-0.072,-0.197,0.046,0.065,N/A
NM_000033,ABCD1,-0.055,-0.07,-0.022,-0.051,0.184,-0.1,0.058
NM_000041,APOE,-0.111,-0.019,0.125,-0.122,0.084,0.029,0.027
NM_000046,ARSB,-0.102,-0.047,-0.32,-0.082,-0.074,-0.047,N/A
NM_000047,ARSE,-0.059,0.087,-0.184,-0.502,0.081,-0.042,0.026
NM_000048,ASL,0.02,0.016,0.047,-0.099,0.05,0.131,-0.064
NM_000054,AVPR2,-0.135,-0.012,N/A,N/A,0.13,-0.074,N/A
NM_000057,BLM,-0.303,0.038,0.035,0.248,-0.196,-0.029,0.063
NM_000060,BTD,0.007,-0.081,-0.135,0.081,-0.055,0.094,0.004
NM_000067,CA2,-0.522,0.402,-0.023,-0.171,-0.352,0.037,-0.573
NM_000071,CBS,-0.108,0.012,-0.125,-0.407,0.086,-0.179,N/A
NM_000073,CD3G,-0.125,N/A,-0.158,-0.009,0.102,0.052,0.117
NM_000075,CDK4,-0.163,0.165,0.033,-0.167,0.352,0,-0.5
NM_000079,CHRNA1,-0.069,-0.063,-0.04,-0.061,0.072,-0.08,N/A
NM_000082,ERCC8,-0.022,0.116,-0.037,-0.522,0.299,-0.147,-0.043
NM_000083,CLCN1,-0.037,0.082,-0.116,-0.169,0.058,0.05,0.042
NM_000086,CLN3,-0.148,-0.018,-0.012,0.033,0.023,-0.135,0.07
NM_000094,COL7A1,-0.155,-0.203,-0.022,-0.005,0.386,0.221,0.07
NM_000095,COMP,-0.172,-0.022,0.045,-0.085,0.016,0.044,N/A
NM_000097,CPOX,-0.047,-0.252,0.296,-0.422,-0.255,-0.671,0.281
NM_000098,CPT2,0.075,0.028,0.406,0.276,-0.07,-0.004,0.021
NM_000100,CSTB,-0.224,0.023,0.045,-0.018,0.198,-0.058,0.21
NM_000101,CYBA,-0.006,0.096,0.151,-0.238,-0.008,-0.024,0.146
NM_000102,CYP17A1,-0.075,N/A,N/A,N/A,0.048,0.061,0.121
NM_000107,DDB2,-0.048,0.099,-0.44,0.142,0.745,0.343,-0.138
NM_000108,DLD,-0.016,0.194,0.019,0.024,0.052,0.113,0.143
NM_000112,SLC26A2,0.625,0.251,-0.014,-0.492,-0.233,-0.049,0.297
NM_000113,TOR1A,-0.012,0.076,-0.168,0.042,0.077,0.065,-0.227
NM_000117,EMD,-0.066,0.079,0.029,-0.077,0.039,0.024,-0.125
NM_000120,EPHX1,-0.123,-0.02,-0.01,N/A,0.066,-0.038,0.2
NM_000121,EPOR,0.019,-0.146,0.003,0.013,0.078,-0.065,0.064
NM_000122,ERCC3,0.059,0.021,-0.027,0.027,-0.321,-0.094,-0.112
NM_000123,ERCC5,0.318,-0.152,-0.014,-0.25,0.255,0.053,-0.154
NM_000124,ERCC6,-0.043,-0.137,0.252,0.342,0.08,0.212,0.039
NM_000127,EXT1,0.21,N/A,0.161,-0.264,0.011,-0.138,-0.169
NM_000129,F13A1,-0.055,-0.006,-0.092,N/A,0.117,N/A,N/A
NM_000135,FANCA,-0.276,-0.315,0.119,0.132,-0.286,-0.003,-0.589
NM_000136,FANCC,-0.274,0.094,0.367,0.008,-0.197,0.025,N/A
NM_000137,FAH,0.197,0.073,0.13,-0.145,N/A,-0.027,-0.067
NM_000140,FECH,0.158,0.07,-0.561,0.085,0.043,0.081,0.217
NM_000142,FGFR3,-0.13,-0.093,0.242,-0.234,-0.595,-0.061,0.044
NM_000143,FH,0.12,-0.069,-0.039,0.051,-0.296,0.037,-0.003
NM_000146,FTL,0.289,0.084,0.089,-0.25,0.127,-0.636,N/A
NM_000147,FUCA1,0.192,0.068,0.092,0.101,0.153,-0.249,0.13
NM_000148,FUT1,-0.057,0.026,0.087,0.03,N/A,N/A,-0.051
NM_000151,G6PC,-0.085,0.027,0.014,-0.137,-0.017,0.068,0.101
NM_000154,GALK1,0.186,-0.068,0.109,-0.167,-0.055,-0.323,0.036
NM_000155,GALT,0.13,-0.039,0.042,-0.166,0.001,-0.039,-0.071
NM_000156,GAMT,0.027,0.013,0.134,-0.399,-0.279,-0.07,0.111
NM_000158,GBE1,0.043,0.008,-0.22,-0.155,0.045,0.149,-0.021
NM_000159,GCDH,-0.001,0.139,0.033,-0.103,0.216,0.087,-0.044
NM_000161,GCH1,0.097,0.224,0.119,-0.542,-0.61,0.065,-0.026
NM_000169,GLA,-0.173,-0.028,-0.037,0.087,0.317,-0.015,-0.013
NM_000175,GPI,0.162,0.086,0.115,-0.272,-0.167,0.031,-0.108
NM_000177,GSN,0.275,0.039,-0.061,-0.083,0.107,-0.047,-0.043
NM_000178,GSS,-0.071,-0.085,0.057,-0.032,0.149,0.228,0.082
NM_000179,MSH6,0.099,0.108,0.328,0.139,-0.693,-0.144,-0.107
NM_000181,GUSB,-0.052,0.001,0.193,0.034,-0.018,0.114,-0.082
NM_000182,HADHA,-0.05,0.052,-0.021,0.038,0.124,-0.006,0.104
NM_000183,HADHB,0.104,0.034,-0.689,0.205,-0.301,0.051,0.167
NM_000188,HK1,0.317,-0.068,0.059,-0.228,-0.073,0.031,-0.181
NM_000191,HMGCL,0.136,-0.019,0.102,0.092,-0.082,0.066,0.144
NM_000193,SHH,-0.235,N/A,-0.001,-0.099,0.41,-0.059,N/A
NM_000195,HPS1,0.055,-0.226,0.217,-0.016,0.359,-0.039,N/A
NM_000196,HSD11B2,-0.218,-0.081,0.277,0.189,-0.001,0.268,-0.41
NM_000199,SGSH,-0.013,-0.151,0.113,-0.016,0.104,0.181,N/A
NM_000201,ICAM1,0.025,-0.138,0.008,-0.083,-0.279,0.058,N/A
NM_000206,IL2RG,-0.058,0.026,-0.033,-0.213,0.045,-0.099,0.058
NM_000210,ITGA6,0.017,-0.121,-0.244,0.086,-0.087,0.184,0.056
NM_000215,JAK3,-0.092,0.008,0.031,-0.071,0.09,-0.052,0.041
NM_000229,LCAT,-0.128,-0.111,-0.055,-0.096,0.072,-0.01,0.245
NM_000232,SGCB,-0.077,-0.028,-0.161,-0.15,-0.193,-0.021,-0.07
NM_000234,LIG1,-0.159,0.239,0.075,-0.11,0.182,-0.076,-0.066
NM_000238,KCNH2,-0.399,0.203,0.434,0.077,-0.111,-0.022,0.331
NM_000240,MAOA,0.264,0.084,-0.082,0.09,-0.09,0.172,-0.001
NM_000246,CIITA,-0.063,-0.021,0.002,-0.106,0.009,0.016,0.078
NM_000249,MLH1,-0.023,0.047,-0.113,0.28,-0.035,0.248,0.121
NM_000251,MSH2,0.019,0.136,-0.326,0.067,-0.183,0.075,-0.115
NM_000254,MTR,0.231,-0.012,0.066,0.105,0.073,-0.245,-0.143
NM_000255,MUT,0.062,0.05,-0.107,0.214,-0.042,0.017,0.074
NM_000260,MYO7A,0.127,-0.191,N/A,N/A,N/A,-0.011,-0.032
NM_000262,NAGA,-0.08,-0.048,-0.017,0.009,0.021,-0.087,0.079
NM_000270,NP,-0.384,-0.181,0.042,-0.028,0.263,-0.05,-0.035
NM_000271,NPC1,0.042,-0.008,-0.229,-0.412,0.01,0.076,0.066
NM_000273,GPR143,0.385,-0.065,0.115,-0.059,0.299,0.01,-0.3
NM_000274,OAT,0.228,0.062,-0.015,0.161,-0.072,0.109,-0.03
NM_000281,PCBD1,-0.151,-0.067,0.071,0.089,0.057,0.032,0.253
NM_000284,PDHA1,N/A,N/A,-1.82,-0.158,0.291,0.081,-0.324
NM_000285,PEPD,0.231,0.081,-0.086,-0.041,-0.047,0.153,0.072
NM_000286,PEX12,-0.451,-0.059,-0.387,0.079,0.102,0.041,-0.059
NM_000287,PEX6,-0.07,0.009,0.065,0.157,0.346,0.04,-0.114
NM_000288,PEX7,0.158,0.033,0.122,-0.03,-0.187,0.045,0.1
NM_000289,PFKM,0.272,-0.026,-0.392,-0.133,0.215,-0.168,-0.04
NM_000291,PGK1,0.029,0.055,0.004,-0.047,0.06,-0.141,0.029
NM_000292,PHKA2,0.316,0.129,0.157,0.115,0.063,0.025,-0.171
NM_000293,PHKB,0.194,0.007,0.161,-0.048,0.126,0.038,-0.078
NM_000294,PHKG2,N/A,N/A,0.066,-0.061,0.155,-0.102,-0.116
NM_000298,PKLR,-0.077,0.073,-0.086,-0.07,0.142,-0.011,0.002
NM_000302,PLOD1,-0.116,-0.105,0.093,-0.16,-0.558,0.196,0.334
NM_000303,PMM2,-0.143,0.273,0.376,0.239,0.092,0.238,0.162
NM_000304,PMP22,-0.093,0.197,-0.033,-0.733,-0.14,0.117,0.229
